Título,Tipo de Propiedad,Dirección,Zona,Número de Ambientes,Dormitorios,Número de Baños,Superficie Total,Superficie Construida,Precio,Expensas,Fecha de Publicación
"Departamento En Venta Ubicado En Tribunales, Capital Federal, Buenos Aires","Departamento - Departamento
Cerrito al 800, San Nicolás, CABA","Departamento - Departamento
Cerrito al 800, San Nicolás, CABA",", San Nicolás, CABA",2 Ambientes,1 Dorm.,No especificado,41 m² cubierto,No especificado,USD 75.000,No especificado,Publicado el 26/11/2024
"Departamento En Venta Ubicado En Balvanera, Capital Federal, Buenos Aires","Departamento - Departamento
Catamarca al 500, Balvanera, CABA","Departamento - Departamento
Catamarca al 500, Balvanera, CABA",", Balvanera, CABA",3 Ambientes,2 Dorm.,No especificado,56 m² cubierto,No especificado,USD 95.000,No especificado,Publicado el 26/11/2024
"Departamento En Venta Ubicado En San Telmo, Capital Federal, Buenos Aires","Departamento - Departamento
TACUARI al 800, San Telmo, CABA","Departamento - Departamento
TACUARI al 800, San Telmo, CABA",", San Telmo, CABA",4 Ambientes,3 Dorm.,No especificado,100 m² cubierto,No especificado,USD 220.000,No especificado,Publicado el 26/11/2024
"Departamento En Venta Ubicado En Caballito, Capital Federal, Buenos Aires","Departamento - Departamento
Acoyte al 200, Caballito, CABA","Departamento - Departamento
Acoyte al 200, Caballito, CABA",", Caballito, CABA",4 Ambientes,3 Dorm.,2 Cocheras,103 m² total,98 m² cubierto,USD 230.000,No especificado,Publicado el 26/11/2024
"Departamento En Venta Ubicado En Las Cañitas, Capital Federal, Buenos Aires","Departamento - Departamento
Soldado de la Independencia al 500, Palermo Las Cañitas, CABA","Departamento - Departamento
Soldado de la Independencia al 500, Palermo Las Cañitas, CABA",", Palermo Las Cañitas, CABA",2 Ambientes,1 Dorm.,No especificado,68 m² cubierto,No especificado,USD 190.000,No especificado,Publicado el 26/11/2024
"Departamento En Venta Ubicado En Palermo Viejo, Capital Federal, Buenos Aires","Departamento - Departamento
Díaz Colodrero al 2600, Palermo Viejo, CABA","Departamento - Departamento
Díaz Colodrero al 2600, Palermo Viejo, CABA",", Palermo Viejo, CABA",3 Ambientes,2 Dorm.,1 Cochera,79 m² total,70 m² cubierto,USD 265.000,No especificado,Publicado el 26/11/2024
"Departamento En Venta Ubicado En Villa Devoto, Capital Federal, Buenos Aires","Departamento - Departamento
Francisco Beiro al 3600, Villa Devoto, CABA","Departamento - Departamento
Francisco Beiro al 3600, Villa Devoto, CABA",", Villa Devoto, CABA",4 Ambientes,3 Dorm.,1 Cochera,102 m² total,102 m² cubierto,USD 380.000,No especificado,Publicado el 26/11/2024
"Departamento En Venta Ubicado En Coghlan, Capital Federal, Buenos Aires","Departamento - Departamento
Complejo TRONADOR0, Coghlan, CABA","Departamento - Departamento
Complejo TRONADOR0, Coghlan, CABA",", Coghlan, CABA",2 Ambientes,1 Dorm.,2 Baños,1 Cochera,80 m² total,USD 265.000,No especificado,Publicado el 26/11/2024
"Departamento En Venta Ubicado En Caballito, Capital Federal, Buenos Aires","Departamento - Departamento
Acoyte al 400, Caballito, CABA","Departamento - Departamento
Acoyte al 400, Caballito, CABA",", Caballito, CABA",4 Ambientes,2 Dorm.,No especificado,130 m² cubierto,No especificado,USD 160.000,No especificado,Publicado el 26/11/2024
"Departamento En Venta Ubicado En Balvanera, Capital Federal, Buenos Aires","Departamento - Departamento
Venezuela al 2400, Balvanera, CABA","Departamento - Departamento
Venezuela al 2400, Balvanera, CABA",", Balvanera, CABA",2 Ambientes,No especificado,No especificado,No especificado,No especificado,USD 135.733,No especificado,Publicado el 26/11/2024
"Departamento En Venta Ubicado En Palermo Viejo, Capital Federal, Buenos Aires","Departamento - Departamento
Av Cnel Díaz al 1700, Palermo Viejo, CABA","Departamento - Departamento
Av Cnel Díaz al 1700, Palermo Viejo, CABA",", Palermo Viejo, CABA",4 Ambientes,3 Dorm.,No especificado,108 m² cubierto,No especificado,USD 240.000,No especificado,Publicado el 26/11/2024
"Departamento En Venta Ubicado En Balvanera, Capital Federal, Buenos Aires","Departamento - Departamento
Av. Rivadavia al 2700, Balvanera, CABA","Departamento - Departamento
Av. Rivadavia al 2700, Balvanera, CABA",", Balvanera, CABA",3 Ambientes,2 Dorm.,No especificado,80 m² cubierto,No especificado,USD 115.000,No especificado,Publicado el 26/11/2024
Departamento En Villa Devoto,"Departamento - Departamento
Campana al al 2600, Villa Devoto, CABA","Departamento - Departamento
Campana al al 2600, Villa Devoto, CABA",", Villa Devoto, CABA",5 Ambientes,3 Dorm.,2 Baños,130 m² total,No especificado,USD 270.000,No especificado,Publicado el 26/11/2024
Av Triunvirato Al 3500,"Departamento - Departamento
Av Triunvirato al al 3500, Villa Ortúzar, CABA","Departamento - Departamento
Av Triunvirato al al 3500, Villa Ortúzar, CABA",", Villa Ortúzar, CABA",1 Ambiente,1 Baño,No especificado,42 m² cubierto,No especificado,USD 84.900,No especificado,Publicado el 26/11/2024
Increible 3 Ambientes En Lezzama San Telmo. En Venta!,"Departamento - Departamento
Defensa al al 1600, San Telmo, CABA","Departamento - Departamento
Defensa al al 1600, San Telmo, CABA",", San Telmo, CABA",3 Ambientes,2 Dorm.,2 Baños,91 m² total,83 m² cubierto,USD 212.673,No especificado,Publicado el 26/11/2024
Increible 3 Ambientes En Lezzama San Telmo. En Venta!,"Departamento - Departamento
Defensa al al 1600, San Telmo, CABA","Departamento - Departamento
Defensa al al 1600, San Telmo, CABA",", San Telmo, CABA",3 Ambientes,2 Dorm.,2 Baños,79 m² total,73 m² cubierto,USD 192.546,No especificado,Publicado el 26/11/2024
"Venta 2 Ambientes En Suite, Balcón, Toilette, Luminoso","Departamento - Departamento
Eustaquio Frias al al 100, Villa Crespo, CABA","Departamento - Departamento
Eustaquio Frias al al 100, Villa Crespo, CABA",", Villa Crespo, CABA",2 Ambientes,1 Dorm.,1 Baño,51 m² total,47 m² cubierto,USD 120.000,No especificado,Publicado el 26/11/2024
Excelente Monoambiente En Belgrano Apto Credito- En Venta!,"Departamento - Departamento
Vuelta de Obligado al al 2400, Belgrano, CABA","Departamento - Departamento
Vuelta de Obligado al al 2400, Belgrano, CABA",", Belgrano, CABA",1 Ambiente,1 Baño,No especificado,32 m² cubierto,No especificado,USD 119.000,No especificado,Publicado el 26/11/2024
Increible 3 Ambientes En Lezzama San Telmo. En Venta!,"Departamento - Departamento
Defensa al al 1600, San Telmo, CABA","Departamento - Departamento
Defensa al al 1600, San Telmo, CABA",", San Telmo, CABA",3 Ambientes,2 Dorm.,2 Baños,79 m² total,73 m² cubierto,USD 188.770,No especificado,Publicado el 26/11/2024
"Venta 2 Ambientes En Suite, Toilette, Luminoso, Balcón Amplio","Departamento - Departamento
Eustaquio Frias al al 100, undefined, CABA","Departamento - Departamento
Eustaquio Frias al al 100, undefined, CABA",", undefined, CABA",2 Ambientes,1 Dorm.,1 Baño,51 m² total,47 m² cubierto,USD 120.000,No especificado,Publicado el 26/11/2024
Increible 3 Ambientes En Lezzama San Telmo. En Venta!,"Departamento - Departamento
Defensa al al 1600, San Telmo, CABA","Departamento - Departamento
Defensa al al 1600, San Telmo, CABA",", San Telmo, CABA",3 Ambientes,2 Dorm.,2 Baños,79 m² total,73 m² cubierto,USD 181.440,No especificado,Publicado el 26/11/2024
Excelente Monoambiente En Belgrano Apto Credito- En Venta!,"Departamento - Departamento
Vuelta de Obligado al al 2400, Belgrano, CABA","Departamento - Departamento
Vuelta de Obligado al al 2400, Belgrano, CABA",", Belgrano, CABA",1 Ambiente,1 Baño,No especificado,32 m² cubierto,No especificado,USD 119.000,No especificado,Publicado el 26/11/2024
Departamento En Venta De 2 Ambientes En Villa Santa Rita,"Departamento - Departamento
Helguera al al 1600, Villa del Parque, CABA","Departamento - Departamento
Helguera al al 1600, Villa del Parque, CABA",", Villa del Parque, CABA",2 Ambientes,1 Dorm.,1 Baño,1 Cochera,48 m² total,USD 102.000,No especificado,Publicado el 26/11/2024
"Casa De 4 Ambientes Con Garage, Patio, Jardin Y Terraza En Flores","Casa - Casa
Av. Boyaca al al 100, Flores, CABA","Casa - Casa
Av. Boyaca al al 100, Flores, CABA",", Flores, CABA",4 Ambientes,3 Dorm.,1 Baño,1 Cochera,137 m² total,USD 295.000,No especificado,Publicado el 26/11/2024
Dpto 2 Amb Sobre Avda Corrientes A Metros De Avda Pueyrredon,"Departamento - Departamento
Avda Corrientes 1° 19 al 2800, Balvanera, CABA","Departamento - Departamento
Avda Corrientes 1° 19 al 2800, Balvanera, CABA",", Balvanera, CABA",2 Ambientes,1 Dorm.,1 Baño,36 m² total,36 m² cubierto,USD 55.000,No especificado,Publicado el 26/11/2024
Duplex Venta - Palermo - Niceto Vega 5600,"Departamento - Departamento
Niceto Vega al 5600, Palermo Hollywood, CABA","Departamento - Departamento
Niceto Vega al 5600, Palermo Hollywood, CABA",", Palermo Hollywood, CABA",3 Ambientes,2 Dorm.,1 Baño,98 m² total,No especificado,USD 270.000,No especificado,Publicado el 26/11/2024
4 Ambientes- Dos Cocheras-full Amenities,"Departamento - Departamento
GH 4 AMB C/dep al 0, Villa Urquiza, CABA","Departamento - Departamento
GH 4 AMB C/dep al 0, Villa Urquiza, CABA",", Villa Urquiza, CABA",4 Ambientes,3 Dorm.,3 Baños,2 Cocheras,125 m² total,USD 360.000,No especificado,Publicado el 26/11/2024
Departamento 1 Ambiente - Caballito,"Departamento - Departamento
Formosa 1º5 (riglos - Av. J. M. Moreno) al 500, Caballito, CABA","Departamento - Departamento
Formosa 1º5 (riglos - Av. J. M. Moreno) al 500, Caballito, CABA",", Caballito, CABA",1 Ambiente,1 Baño,No especificado,32 m² cubierto,No especificado,USD 58.000,No especificado,Publicado el 26/11/2024
"2amb En Obra Entrega 2026 Venta En Belgrano, Capital Federal, Buenos Aires","Departamento - Departamento
Montañeses al 2000, Belgrano, CABA","Departamento - Departamento
Montañeses al 2000, Belgrano, CABA",", Belgrano, CABA",2 Ambientes,1 Dorm.,2 Baños,50.4 m² total,43.06 m² cubierto,USD 168.000,No especificado,Publicado el 26/11/2024
"3amb En Obra Entrega 2026 Venta En Belgrano, Capital Federal, Buenos Aires","Departamento - Departamento
Montañeses al 2000, Belgrano, CABA","Departamento - Departamento
Montañeses al 2000, Belgrano, CABA",", Belgrano, CABA",3 Ambientes,2 Dorm.,2 Baños,74.23 m² total,66.63 m² cubierto,USD 257.000,No especificado,Publicado el 26/11/2024
"Monoambiente En Obra Entrega 2026 Venta En Belgrano, Capital Federal, Buenos Aires","Departamento - Monoambiente
Montañeses al 2000, Belgrano, CABA","Departamento - Monoambiente
Montañeses al 2000, Belgrano, CABA",", Belgrano, CABA",1 Ambiente,1 Baño,No especificado,32.74 m² cubierto,No especificado,USD 143.000,No especificado,Publicado el 26/11/2024
Venta Departamento 1 Dormitorio Villa Urquiza,"Departamento - Departamento
Cullen con Cochera descubierta al 5000, Villa Urquiza, CABA","Departamento - Departamento
Cullen con Cochera descubierta al 5000, Villa Urquiza, CABA",", Villa Urquiza, CABA",2 Ambientes,1 Dorm.,2 Baños,1 Cochera,61 m² total,USD 179.000,No especificado,Publicado el 26/11/2024
Departamento En Venta,"Departamento - Departamento
Nazarre al al 2800, Villa del Parque, CABA","Departamento - Departamento
Nazarre al al 2800, Villa del Parque, CABA",", Villa del Parque, CABA",2 Ambientes,1 Dorm.,1 Baño,44 m² total,36 m² cubierto,USD 89.000,No especificado,Publicado el 26/11/2024
Departamento En Coghlan,"Departamento - Departamento
Nuñez al 3200, Coghlan, CABA","Departamento - Departamento
Nuñez al 3200, Coghlan, CABA",", Coghlan, CABA",2 Ambientes,1 Dorm.,1 Baño,37 m² total,37 m² cubierto,USD 72.000,No especificado,Publicado el 26/11/2024
Departamento Venta Monoambiente Cañitas Emprendimiento Full Amenities,"Departamento - Departamento
Ortega y Gasset al al 1900, Palermo Las Cañitas, CABA","Departamento - Departamento
Ortega y Gasset al al 1900, Palermo Las Cañitas, CABA",", Palermo Las Cañitas, CABA",1 Ambiente,1 Baño,No especificado,25 m² cubierto,No especificado,USD 87.001,No especificado,Publicado el 26/11/2024
Depto. 3 Ambientes - C/balcòn,"Departamento - Departamento
Yerbal al 2900, Flores, CABA","Departamento - Departamento
Yerbal al 2900, Flores, CABA",", Flores, CABA",3 Ambientes,2 Dorm.,1 Baño,56 m² total,48 m² cubierto,USD 68.000,No especificado,Publicado el 26/11/2024
Hotel Boutique Con Restaurante,"Departamento - Departamento
Humberto ° al 600. Entre Perú y Chacabuco al 0, San Telmo, CABA","Departamento - Departamento
Humberto ° al 600. Entre Perú y Chacabuco al 0, San Telmo, CABA",", San Telmo, CABA",No especificado,No especificado,No especificado,No especificado,No especificado,USD 550.000,No especificado,Publicado el 26/11/2024
Departamento 2 Ambientes Con Balcón,"Departamento - Departamento
La Rioja al . Entre Inclán y Av. juan de garay al 1700, Parque Patricios, CABA","Departamento - Departamento
La Rioja al . Entre Inclán y Av. juan de garay al 1700, Parque Patricios, CABA",", Parque Patricios, CABA",2 Ambientes,1 Dorm.,1 Baño,55 m² total,48 m² cubierto,USD 105.000,No especificado,Publicado el 26/11/2024
4 Ambientes Piso Alto En Recoleta,"Departamento - Departamento
Juncal al al 1300, Recoleta, CABA","Departamento - Departamento
Juncal al al 1300, Recoleta, CABA",", Recoleta, CABA",4 Ambientes,3 Dorm.,1 Baño,100 m² total,No especificado,USD 270.000,No especificado,Publicado el 26/11/2024
Departamento 2 Ambientes Con Balcón Terraza,"Departamento - Departamento
Estados Unidos al . Entre Matheu y Pichincha al 2300, San Cristóbal, CABA","Departamento - Departamento
Estados Unidos al . Entre Matheu y Pichincha al 2300, San Cristóbal, CABA",", San Cristóbal, CABA",2 Ambientes,1 Dorm.,1 Baño,59 m² total,54 m² cubierto,USD 130.000,Expensas: $390.000,Publicado el 26/11/2024
Departamento 2 Ambientes Con Balcon,"Departamento - Departamento
La Rioja al . Entre Inclán y Av. juan de garay al 1700, Parque Patricios, CABA","Departamento - Departamento
La Rioja al . Entre Inclán y Av. juan de garay al 1700, Parque Patricios, CABA",", Parque Patricios, CABA",2 Ambientes,1 Dorm.,1 Baño,55 m² total,48 m² cubierto,USD 100.000,No especificado,Publicado el 26/11/2024
Semipiso 2 Ambientes Con Balcón Terraza,"Departamento - Departamento
Chacabuco al . Entre Cochabamba y Av. juan de garay al 1300, San Telmo, CABA","Departamento - Departamento
Chacabuco al . Entre Cochabamba y Av. juan de garay al 1300, San Telmo, CABA",", San Telmo, CABA",2 Ambientes,1 Dorm.,1 Baño,59 m² total,34 m² cubierto,USD 90.000,No especificado,Publicado el 26/11/2024
Departamento 3 Ambientes Con Balcón,"Departamento - Departamento
Carlos Calvo al . Entre Chacabuco y Perú al 600, San Telmo, CABA","Departamento - Departamento
Carlos Calvo al . Entre Chacabuco y Perú al 600, San Telmo, CABA",", San Telmo, CABA",3 Ambientes,2 Dorm.,1 Baño,47 m² total,46 m² cubierto,USD 82.000,No especificado,Publicado el 26/11/2024
Departamento 2 Ambientes Con Balcon // Se Vende Con Renta,"Departamento - Departamento
La Rioja al . Entre Inclán y Salcedo al 1700, Parque Patricios, CABA","Departamento - Departamento
La Rioja al . Entre Inclán y Salcedo al 1700, Parque Patricios, CABA",", Parque Patricios, CABA",2 Ambientes,1 Dorm.,1 Baño,56 m² total,48 m² cubierto,USD 87.000,No especificado,Publicado el 26/11/2024
Departamento 3 Ambientes Con Balcón,"Departamento - Departamento
La Rioja al . Entre Inclán y Av. juan de garay al 1700, Parque Patricios, CABA","Departamento - Departamento
La Rioja al . Entre Inclán y Av. juan de garay al 1700, Parque Patricios, CABA",", Parque Patricios, CABA",3 Ambientes,2 Dorm.,1 Baño,1 Cochera,88 m² total,USD 160.000,No especificado,Publicado el 26/11/2024
Departamento Monoambiente C/balcón En Coghlan,"Departamento - Departamento
Rivera al 3400, Coghlan, CABA","Departamento - Departamento
Rivera al 3400, Coghlan, CABA",", Coghlan, CABA",1 Baño,No especificado,No especificado,No especificado,No especificado,USD 69.000,No especificado,Publicado el 26/11/2024
Depto. 4 Amb. Sobre Avenida,"Departamento - Departamento
Av. Soldado de la Frontera al 5200, Villa Lugano, CABA","Departamento - Departamento
Av. Soldado de la Frontera al 5200, Villa Lugano, CABA",", Villa Lugano, CABA",4 Ambientes,3 Dorm.,1 Baño,65 m² total,65 m² cubierto,USD 50.000,No especificado,Publicado el 26/11/2024
Venta Departamento 4 Ambientes Con Cochera En Caballito,"Departamento - Departamento
Pujol al al 1400, Caballito, CABA","Departamento - Departamento
Pujol al al 1400, Caballito, CABA",", Caballito, CABA",4 Ambientes,3 Dorm.,2 Baños,1 Cochera,84 m² total,USD 230.000,No especificado,Publicado el 26/11/2024
Departamento En Venta Avenida Medrano 500,"Departamento - Departamento
Av. Medrano al al 500, Almagro Norte, CABA","Departamento - Departamento
Av. Medrano al al 500, Almagro Norte, CABA",", Almagro Norte, CABA",2 Ambientes,1 Dorm.,1 Baño,64 m² total,39 m² cubierto,USD 114.000,No especificado,Publicado el 26/11/2024
Palermo: Monoambiente A Estrenar Cabrera Y Thames,"Departamento - Departamento
Cabrera al al 5100, Palermo Soho, CABA","Departamento - Departamento
Cabrera al al 5100, Palermo Soho, CABA",", Palermo Soho, CABA",1 Ambiente,1 Baño,No especificado,29 m² cubierto,No especificado,USD 122.000,No especificado,Publicado el 26/11/2024
"DEPARTAMENTO 4 DORMITORIOS - BELGRANO C/CHICO/BARRANCAS, CAPITAL FEDERAL","Departamento - Semipiso
NEWBERY JORGE al 1600, Belgrano C, CABA","Departamento - Semipiso
NEWBERY JORGE al 1600, Belgrano C, CABA",", Belgrano C, CABA",5 Ambientes,4 Dorm.,3 Baños,2 Cocheras,180 m² total,USD 490.000,No especificado,Publicado el 26/11/2024
3 Amb Con Cochera,"Departamento - Departamento
Esmeralda al al 1000, Recoleta, CABA","Departamento - Departamento
Esmeralda al al 1000, Recoleta, CABA",", Recoleta, CABA",3 Ambientes,2 Dorm.,1 Baño,1 Cochera,67 m² total,USD 168.000,No especificado,Publicado el 26/11/2024
Excelente Departamento En Alquiler De 3 Dormitorios Con Dependencia Y Con Cochera Doble,"Departamento - Departamento
Dorrego al al 1600, Palermo Hollywood, CABA","Departamento - Departamento
Dorrego al al 1600, Palermo Hollywood, CABA",", Palermo Hollywood, CABA",4 Ambientes,3 Dorm.,3 Baños,2 Cocheras,121 m² total,USD 560.000,No especificado,Publicado el 26/11/2024
3 Dormitorios En Venta .depto Antiguo De Estilo,"Departamento - Departamento
Rodriguez Peña al al 200, San Nicolás, CABA","Departamento - Departamento
Rodriguez Peña al al 200, San Nicolás, CABA",", San Nicolás, CABA",5 Ambientes,3 Dorm.,2 Baños,141 m² total,139 m² cubierto,USD 162.000,No especificado,Publicado el 26/11/2024
